SongTitle,ArtistName,AlbumName,Rating,Time
Nineteen Hundred and Eighty Five,Paul McCartney & Wings,Band on the Run,1,328
Owner of a Lonely Heart,Yes,Highlights,0,269
Something,The Beatles,1967-1970,6,182
Sweet Caroline,Neil Diamond,The Essential Neil Diamond,10,201
Take Me Down,Alabama,For the Record Disc 1,7,224
The Fool on the Hill,The Beatles,1967-1970,0,179
The Relay,The Who,Who's Greatest Hits,9,228
Travelin' Band,Creedence Clearwater Revival,Chronicle Vol 1,9,129
Carry On,Tim McGraw,Place in the Sun,10,202
Close Enough to Perfect,Alabama,For the Record Disc 1,4,213
Coconut Telegraph,Jimmy Buffett,Coconut Telegraph,7,179
"Help Me, Rhonda",The Beach Boys,20 Good Vibrations,4,189
I Feel Fine,The Beatles,1962-1966,7,139
I Want to Know What Love Is,Foreigner,The Very Best And Beyond,10,304
Just You 'N' Me,Chicago,The Heart of Chicago 1967-1997,0,222
King of Pain,The Police,Every Breath You Take,7,297
Magical Mystery Tour,The Beatles,1967-1970,7,168
Octopus's Garden,The Beatles,1967-1970,2,172
Paperback Writer,The Beatles,1962-1966,5,138
Philadelphia Freedom,Elton John,The Very Best of Elton John,0,342
Song For The Asking,Simon & Garfunkel,Collected Works,1,108
Song Sung Blue,Neil Diamond,The Essential Neil Diamond,6,193
Telephone Line,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,8,281
That Smell,Lynyrd Skynyrd,Skynyrd's Innyrds,10,348
The Last Resort,Eagles,Hell Freezes Over,7,444
Toy Soldier,The Four Seasons,Gold Vault Of Hits,1,153
Who'll Stop the Rain,Creedence Clearwater Revival,Chronicle Vol 1,8,149
All Over the World,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,6,244
California Girls,The Beach Boys,20 Good Vibrations,10,158
Cry Myself To Sleep,The Four Seasons,Gold Vault Of Hits,8,171
Dixieland Delight,Alabama,For the Record Disc 1,8,237
Does Anybody Really Know What Time It Is?,Chicago,The Heart of Chicago 1967-1997,7,200
Don't Ask Me No Questions,Lynyrd Skynyrd,Skynyrd's Innyrds,10,205
Eleanor Rigby,The Beatles,1962-1966,9,128
Holly Holy,Neil Diamond,The Essential Neil Diamond,4,270
Lady Madonna,The Beatles,1967-1970,4,139
Let It Be,The Beatles,1967-1970,10,232
Love Reign O'er Me,The Who,Who's Greatest Hits,5,187
My Next Thirty Years,Tim McGraw,Place in the Sun,7,217
Rhythm of Love,Yes,Highlights,9,285
Someone Saved My Life Tonight,Elton John,The Very Best of Elton John,6,407
Ticket to Ride,The Beatles,1962-1966,0,190
Up Around the Bend,Creedence Clearwater Revival,Chronicle Vol 1,7,162
Wrapped Around Your Finger,The Police,Every Breath You Take,3,312
Across the Universe,The Beatles,1967-1970,2,227
Barbara Ann,The Beach Boys,20 Good Vibrations,1,139
Call Me the Breeze,Lynyrd Skynyrd,Skynyrd's Innyrds,1,308
Hey Jude,The Beatles,1967-1970,9,428
I Am...I Said,Neil Diamond,The Essential Neil Diamond,8,213
I Don't Wanna Go on With You Like That,Elton John,The Very Best of Elton John,0,239
Run Through the Jungle,Creedence Clearwater Revival,Chronicle Vol 1,3,186
The Closer You Get,Alabama,For the Record Disc 1,4,215
